ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:NVDA170113C00089500,2017-01-09,2017-01-13,NVDA,C,895.0,1,17.7,17.7,17.7,17.7,1,1483938000000000000,4,Weekly
O:NVDA170113C00090000,2017-01-09,2017-01-13,NVDA,C,900.0,2,17.6,17.6,17.6,17.6,1,1483938000000000000,4,Weekly
O:NVDA170113C00095000,2017-01-09,2017-01-13,NVDA,C,950.0,3,12.75,12.75,12.75,12.75,1,1483938000000000000,4,Weekly
O:NVDA170113C00097000,2017-01-09,2017-01-13,NVDA,C,970.0,4,7.9,7.72,7.9,7.72,2,1483938000000000000,4,Weekly
O:NVDA170113C00098000,2017-01-09,2017-01-13,NVDA,C,980.0,5,8.9,9.34,9.5,8.9,4,1483938000000000000,4,Weekly
O:NVDA170113C00098500,2017-01-09,2017-01-13,NVDA,C,985.0,3,7.1,8.8,8.8,7.1,2,1483938000000000000,4,Weekly
O:NVDA170113C00099000,2017-01-09,2017-01-13,NVDA,C,990.0,8,8.51,8.25,8.51,8.25,2,1483938000000000000,4,Weekly
O:NVDA170113C00099500,2017-01-09,2017-01-13,NVDA,C,995.0,1,8.0,8.0,8.0,8.0,1,1483938000000000000,4,Weekly
O:NVDA170113C00100000,2017-01-09,2017-01-13,NVDA,C,1000.0,184,4.3,7.75,8.2,4.3,65,1483938000000000000,4,Weekly
O:NVDA170113C00101000,2017-01-09,2017-01-13,NVDA,C,1010.0,479,4.45,7.0,7.25,4.35,38,1483938000000000000,4,Weekly
O:NVDA170113C00102000,2017-01-09,2017-01-13,NVDA,C,1020.0,500,3.54,5.75,6.5,3.54,49,1483938000000000000,4,Weekly
O:NVDA170113C00103000,2017-01-09,2017-01-13,NVDA,C,1030.0,1451,2.7,5.3,5.7,2.7,118,1483938000000000000,4,Weekly
O:NVDA170113C00104000,2017-01-09,2017-01-13,NVDA,C,1040.0,1159,2.2,4.37,4.94,2.2,146,1483938000000000000,4,Weekly
O:NVDA170113C00105000,2017-01-09,2017-01-13,NVDA,C,1050.0,3338,1.88,3.45,4.25,1.74,448,1483938000000000000,4,Weekly
O:NVDA170113C00106000,2017-01-09,2017-01-13,NVDA,C,1060.0,1438,1.32,2.82,3.65,1.32,250,1483938000000000000,4,Weekly
O:NVDA170113C00107000,2017-01-09,2017-01-13,NVDA,C,1070.0,3831,1.06,2.2,3.06,0.92,485,1483938000000000000,4,Weekly
O:NVDA170113C00108000,2017-01-09,2017-01-13,NVDA,C,1080.0,3247,0.8,1.8,2.56,0.8,506,1483938000000000000,4,Weekly
O:NVDA170113C00109000,2017-01-09,2017-01-13,NVDA,C,1090.0,2792,0.63,1.4,2.1,0.62,398,1483938000000000000,4,Weekly
O:NVDA170113C00110000,2017-01-09,2017-01-13,NVDA,C,1100.0,6620,0.42,1.1,1.79,0.42,779,1483938000000000000,4,Weekly
O:NVDA170113C00111000,2017-01-09,2017-01-13,NVDA,C,1110.0,1964,0.5,0.82,1.49,0.21,252,1483938000000000000,4,Weekly
O:NVDA170113C00112000,2017-01-09,2017-01-13,NVDA,C,1120.0,2370,0.3,0.64,1.18,0.28,275,1483938000000000000,4,Weekly
O:NVDA170113C00113000,2017-01-09,2017-01-13,NVDA,C,1130.0,879,0.4,0.46,1.05,0.35,146,1483938000000000000,4,Weekly
O:NVDA170113C00114000,2017-01-09,2017-01-13,NVDA,C,1140.0,355,0.6,0.4,0.82,0.25,65,1483938000000000000,4,Weekly
O:NVDA170113C00115000,2017-01-09,2017-01-13,NVDA,C,1150.0,2153,0.13,0.27,0.64,0.13,216,1483938000000000000,4,Weekly
O:NVDA170113C00116000,2017-01-09,2017-01-13,NVDA,C,1160.0,138,0.23,0.2,0.51,0.15,30,1483938000000000000,4,Weekly
O:NVDA170113C00117000,2017-01-09,2017-01-13,NVDA,C,1170.0,1449,0.1,0.16,0.43,0.1,54,1483938000000000000,4,Weekly
O:NVDA170113C00118000,2017-01-09,2017-01-13,NVDA,C,1180.0,94,0.15,0.12,0.32,0.09,26,1483938000000000000,4,Weekly
O:NVDA170113C00119000,2017-01-09,2017-01-13,NVDA,C,1190.0,44,0.19,0.07,0.19,0.05,7,1483938000000000000,4,Weekly
O:NVDA170113C00120000,2017-01-09,2017-01-13,NVDA,C,1200.0,419,0.13,0.08,0.23,0.05,54,1483938000000000000,4,Weekly
O:NVDA170113C00121000,2017-01-09,2017-01-13,NVDA,C,1210.0,101,0.18,0.14,0.18,0.14,3,1483938000000000000,4,Weekly
O:NVDA170113C00122000,2017-01-09,2017-01-13,NVDA,C,1220.0,288,0.02,0.03,0.13,0.02,15,1483938000000000000,4,Weekly
O:NVDA170113C00123000,2017-01-09,2017-01-13,NVDA,C,1230.0,10,0.03,0.03,0.03,0.03,1,1483938000000000000,4,Weekly
O:NVDA170113C00125000,2017-01-09,2017-01-13,NVDA,C,1250.0,54,0.05,0.03,0.09,0.03,6,1483938000000000000,4,Weekly
