ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:MSFT230217C00115000,2023-01-17,2023-02-17,MSFT,C,1150.0,1,124.99,124.99,124.99,124.99,1,1673931600000000000,31,Monthly
O:MSFT230217C00150000,2023-01-17,2023-02-17,MSFT,C,1500.0,2,91.0,91.0,91.0,91.0,2,1673931600000000000,31,Monthly
O:MSFT230217C00190000,2023-01-17,2023-02-17,MSFT,C,1900.0,1,51.0,51.0,51.0,51.0,1,1673931600000000000,31,Monthly
O:MSFT230217C00200000,2023-01-17,2023-02-17,MSFT,C,2000.0,10,42.0,41.02,42.0,40.0,9,1673931600000000000,31,Monthly
O:MSFT230217C00205000,2023-01-17,2023-02-17,MSFT,C,2050.0,1,35.05,35.05,35.05,35.05,1,1673931600000000000,31,Monthly
O:MSFT230217C00210000,2023-01-17,2023-02-17,MSFT,C,2100.0,10,31.13,32.1,32.1,30.85,7,1673931600000000000,31,Monthly
O:MSFT230217C00215000,2023-01-17,2023-02-17,MSFT,C,2150.0,1,27.57,27.57,27.57,27.57,1,1673931600000000000,31,Monthly
O:MSFT230217C00220000,2023-01-17,2023-02-17,MSFT,C,2200.0,24,22.04,23.7,23.85,21.95,11,1673931600000000000,31,Monthly
O:MSFT230217C00225000,2023-01-17,2023-02-17,MSFT,C,2250.0,95,18.95,19.3,20.05,18.4,36,1673931600000000000,31,Monthly
O:MSFT230217C00230000,2023-01-17,2023-02-17,MSFT,C,2300.0,143,14.73,15.8,16.4,13.98,49,1673931600000000000,31,Monthly
O:MSFT230217C00235000,2023-01-17,2023-02-17,MSFT,C,2350.0,447,11.0,12.35,13.05,11.0,93,1673931600000000000,31,Monthly
O:MSFT230217C00240000,2023-01-17,2023-02-17,MSFT,C,2400.0,1859,8.35,9.5,10.02,8.01,430,1673931600000000000,31,Monthly
O:MSFT230217C00245000,2023-01-17,2023-02-17,MSFT,C,2450.0,1042,6.1,6.91,7.44,6.02,221,1673931600000000000,31,Monthly
O:MSFT230217C00250000,2023-01-17,2023-02-17,MSFT,C,2500.0,1146,4.1,4.84,5.34,4.0,321,1673931600000000000,31,Monthly
O:MSFT230217C00255000,2023-01-17,2023-02-17,MSFT,C,2550.0,737,2.91,3.25,3.65,2.84,193,1673931600000000000,31,Monthly
