ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:GOOG160108C00650000,2016-01-04,2016-01-08,GOOG,C,32.5,1.0,4.42,4.42,-12.38,YES,4.42,13.6,4.42,13.6,4.42,4.42,1.0,1451883600000000000,4.0,Weekly,37.15,37.09,37.2,36.56,37.09,37.09,37.2,37.09
O:GOOG160108C00700000,2016-01-04,2016-01-08,GOOG,C,35.0,1.0,1.9,1.9,-5.64,YES,1.9,5.43,1.9,5.43,1.9,1.9,1.0,1451883600000000000,4.0,Weekly,37.15,37.09,37.2,36.56,37.09,37.09,37.2,37.09
O:GOOG160108C00710000,2016-01-04,2016-01-08,GOOG,C,35.5,104.0,1.48,1.5,-4.29,YES,1.5,4.23,1.48,3.63,1.5,1.29,8.0,1451883600000000000,4.0,Weekly,37.15,37.09,37.2,36.56,37.09,37.09,37.2,37.09
O:GOOG160108C00717500,2016-01-04,2016-01-08,GOOG,C,35.88,60.0,1.15,1.15,-3.28,YES,1.15,3.21,1.15,3.21,1.15,1.15,1.0,1451883600000000000,4.0,Weekly,37.15,37.09,37.2,36.56,37.09,37.09,37.2,37.09
O:GOOG160108C00720000,2016-01-04,2016-01-08,GOOG,C,36.0,21.0,1.2,0.92,-2.94,YES,0.92,2.57,1.2,2.5,1.2,0.9,9.0,1451883600000000000,4.0,Weekly,37.15,37.09,37.2,36.56,37.09,37.09,37.2,37.09
O:GOOG160108C00722500,2016-01-04,2016-01-08,GOOG,C,36.12,2.0,0.92,0.92,-2.61,YES,0.92,2.53,0.92,2.53,0.92,0.92,1.0,1451883600000000000,4.0,Weekly,37.15,37.09,37.2,36.56,37.09,37.09,37.2,37.09
O:GOOG160108C00725000,2016-01-04,2016-01-08,GOOG,C,36.25,31.0,1.02,0.82,-2.27,YES,0.82,2.25,1.02,2.25,1.02,0.82,12.0,1451883600000000000,4.0,Weekly,37.15,37.09,37.2,36.56,37.09,37.09,37.2,37.09
O:GOOG160108C00727500,2016-01-04,2016-01-08,GOOG,C,36.38,39.0,0.69,0.71,-1.93,YES,0.71,1.95,0.69,1.87,0.77,0.68,17.0,1451883600000000000,4.0,Weekly,37.15,37.09,37.2,36.56,37.09,37.09,37.2,37.09
O:GOOG160108C00730000,2016-01-04,2016-01-08,GOOG,C,36.5,79.0,0.72,0.75,-1.6,YES,0.75,2.05,0.72,1.56,0.75,0.57,28.0,1451883600000000000,4.0,Weekly,37.15,37.09,37.2,36.56,37.09,37.09,37.2,37.09
O:GOOG160108C00732500,2016-01-04,2016-01-08,GOOG,C,36.62,143.0,0.66,0.63,-1.26,YES,0.63,1.72,0.66,1.37,0.66,0.5,24.0,1451883600000000000,4.0,Weekly,37.15,37.09,37.2,36.56,37.09,37.09,37.2,37.09
O:GOOG160108C00735000,2016-01-04,2016-01-08,GOOG,C,36.75,298.0,0.59,0.62,-0.92,YES,0.62,1.7,0.59,1.13,0.69,0.42,81.0,1451883600000000000,4.0,Weekly,37.15,37.09,37.2,36.56,37.09,37.09,37.2,37.09
O:GOOG160108C00737500,2016-01-04,2016-01-08,GOOG,C,36.88,281.0,0.51,0.51,-0.59,YES,0.51,1.38,0.51,0.98,0.51,0.36,44.0,1451883600000000000,4.0,Weekly,37.15,37.09,37.2,36.56,37.09,37.09,37.2,37.09
O:GOOG160108C00740000,2016-01-04,2016-01-08,GOOG,C,37.0,337.0,0.41,0.47,-0.25,YES,0.47,1.27,0.41,0.81,0.57,0.3,103.0,1451883600000000000,4.0,Weekly,37.15,37.09,37.2,36.56,37.09,37.09,37.2,37.09
