ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:META240216C00005000,2024-01-16,2024-02-16,META,C,5.0,17.0,363.2,363.0,-98.64,YES,363.0,7260.0,363.2,7264.0,363.2,363.0,17.0,1705381200000000000,31.0,Monthly,373.65,367.46,375.61,367.23,367.46,367.46,375.61,367.46
O:META240216C00010000,2024-01-16,2024-02-16,META,C,10.0,14.0,358.15,358.1,-97.28,YES,358.1,3581.0,358.15,3581.5,358.15,358.1,6.0,1705381200000000000,31.0,Monthly,373.65,367.46,375.61,367.23,367.46,367.46,375.61,367.46
O:META240216C00015000,2024-01-16,2024-02-16,META,C,15.0,6.0,353.05,353.0,-95.92,YES,353.0,2353.33,353.05,2353.67,353.05,353.0,6.0,1705381200000000000,31.0,Monthly,373.65,367.46,375.61,367.23,367.46,367.46,375.61,367.46
O:META240216C00020000,2024-01-16,2024-02-16,META,C,20.0,4.0,348.0,348.0,-94.56,YES,348.0,1740.0,348.0,1740.0,348.0,348.0,4.0,1705381200000000000,31.0,Monthly,373.65,367.46,375.61,367.23,367.46,367.46,375.61,367.46
O:META240216C00130000,2024-01-16,2024-02-16,META,C,130.0,20.0,240.7,240.7,-64.62,YES,240.7,185.15,240.7,185.15,240.7,240.7,1.0,1705381200000000000,31.0,Monthly,373.65,367.46,375.61,367.23,367.46,367.46,375.61,367.46
O:META240216C00135000,2024-01-16,2024-02-16,META,C,135.0,1.0,236.64,236.64,-63.26,YES,236.64,175.29,236.64,175.29,236.64,236.64,1.0,1705381200000000000,31.0,Monthly,373.65,367.46,375.61,367.23,367.46,367.46,375.61,367.46
O:META240216C00140000,2024-01-16,2024-02-16,META,C,140.0,4.0,231.87,231.25,-61.9,YES,231.25,165.18,231.87,165.62,231.87,231.14,3.0,1705381200000000000,31.0,Monthly,373.65,367.46,375.61,367.23,367.46,367.46,375.61,367.46
O:META240216C00160000,2024-01-16,2024-02-16,META,C,160.0,3.0,210.86,210.86,-56.46,YES,210.86,131.79,210.86,131.79,210.86,210.86,1.0,1705381200000000000,31.0,Monthly,373.65,367.46,375.61,367.23,367.46,367.46,375.61,367.46
O:META240216C00170000,2024-01-16,2024-02-16,META,C,170.0,1.0,202.83,202.83,-53.74,YES,202.83,119.31,202.83,119.31,202.83,202.83,1.0,1705381200000000000,31.0,Monthly,373.65,367.46,375.61,367.23,367.46,367.46,375.61,367.46
O:META240216C00190000,2024-01-16,2024-02-16,META,C,190.0,2.0,179.86,179.86,-48.29,YES,179.86,94.66,179.86,94.66,179.86,179.86,1.0,1705381200000000000,31.0,Monthly,373.65,367.46,375.61,367.23,367.46,367.46,375.61,367.46
O:META240216C00205000,2024-01-16,2024-02-16,META,C,205.0,1.0,166.03,166.03,-44.21,YES,166.03,80.99,166.03,80.99,166.03,166.03,1.0,1705381200000000000,31.0,Monthly,373.65,367.46,375.61,367.23,367.46,367.46,375.61,367.46
O:META240216C00210000,2024-01-16,2024-02-16,META,C,210.0,32.0,161.75,160.8,-42.85,YES,160.8,76.57,161.75,77.02,161.75,160.8,3.0,1705381200000000000,31.0,Monthly,373.65,367.46,375.61,367.23,367.46,367.46,375.61,367.46
O:META240216C00215000,2024-01-16,2024-02-16,META,C,215.0,13.0,156.3,156.3,-41.49,YES,156.3,72.7,156.3,72.7,156.3,156.3,3.0,1705381200000000000,31.0,Monthly,373.65,367.46,375.61,367.23,367.46,367.46,375.61,367.46
O:META240216C00220000,2024-01-16,2024-02-16,META,C,220.0,32.0,150.92,150.4,-40.13,YES,150.4,68.36,150.92,68.6,151.37,150.4,5.0,1705381200000000000,31.0,Monthly,373.65,367.46,375.61,367.23,367.46,367.46,375.61,367.46
