ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:GOOG200221C01160000,2020-01-21,2020-02-21,GOOG,C,58.0,1,16.28,16.28,-21.85,YES,16.28,28.0733,16.28,28.0733,16.28,16.28,1,1579582800000000000,31,Monthly,73.96,74.22,74.59,73.56,74.22,74.22,74.59,74.22
O:GOOG200221C01275000,2020-01-21,2020-02-21,GOOG,C,63.75,10,10.59,10.64,-14.11,YES,10.64,16.6839,10.59,16.6165,10.67,10.59,8,1579582800000000000,31,Monthly,73.96,74.22,74.59,73.56,74.22,74.22,74.59,74.22
O:GOOG200221C01280000,2020-01-21,2020-02-21,GOOG,C,64.0,2,10.39,10.39,-13.77,YES,10.39,16.2352,10.39,16.2352,10.39,10.39,2,1579582800000000000,31,Monthly,73.96,74.22,74.59,73.56,74.22,74.22,74.59,74.22
O:GOOG200221C01285000,2020-01-21,2020-02-21,GOOG,C,64.25,10,10.11,10.15,-13.43,YES,10.15,15.8,10.11,15.7362,10.19,10.11,8,1579582800000000000,31,Monthly,73.96,74.22,74.59,73.56,74.22,74.22,74.59,74.22
O:GOOG200221C01330000,2020-01-21,2020-02-21,GOOG,C,66.5,6,8.0,8.19,-10.4,YES,8.19,12.3158,8.0,11.9226,8.19,7.93,3,1579582800000000000,31,Monthly,73.96,74.22,74.59,73.56,74.22,74.22,74.59,74.22
O:GOOG200221C01350000,2020-01-21,2020-02-21,GOOG,C,67.5,15,6.75,7.02,-9.05,YES,7.02,10.3926,6.75,10.0,7.06,6.75,3,1579582800000000000,31,Monthly,73.96,74.22,74.59,73.56,74.22,74.22,74.59,74.22
O:GOOG200221C01360000,2020-01-21,2020-02-21,GOOG,C,68.0,3,6.75,6.75,-8.38,YES,6.75,9.9265,6.75,9.9265,6.75,6.75,3,1579582800000000000,31,Monthly,73.96,74.22,74.59,73.56,74.22,74.22,74.59,74.22
O:GOOG200221C01380000,2020-01-21,2020-02-21,GOOG,C,69.0,1,5.78,5.78,-7.03,YES,5.78,8.3696,5.78,8.3696,5.78,5.78,1,1579582800000000000,31,Monthly,73.96,74.22,74.59,73.56,74.22,74.22,74.59,74.22
O:GOOG200221C01385000,2020-01-21,2020-02-21,GOOG,C,69.25,3,5.22,5.68,-6.7,YES,5.68,8.2022,5.22,7.5408,5.68,5.22,3,1579582800000000000,31,Monthly,73.96,74.22,74.59,73.56,74.22,74.22,74.59,74.22
O:GOOG200221C01390000,2020-01-21,2020-02-21,GOOG,C,69.5,6,5.01,5.05,-6.36,YES,5.05,7.2662,5.01,7.2144,5.05,5.01,5,1579582800000000000,31,Monthly,73.96,74.22,74.59,73.56,74.22,74.22,74.59,74.22
