ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:GOOG200221C01160000,2020-01-21,2020-02-21,GOOG,C,58.0,1.0,16.28,16.28,-21.85,YES,16.28,21.83,16.28,21.83,16.28,16.28,1.0,1579582800000000000,31.0,Monthly,73.96,74.22,74.59,73.56,74.5925,74.2555,75.6107,75.6107,0.0155,0.0001,1.0,16.28,21.83
O:GOOG200221C01275000,2020-01-21,2020-02-21,GOOG,C,63.75,10.0,10.59,10.64,-14.11,YES,10.63,14.25,10.59,14.2,10.67,10.59,8.0,1579582800000000000,31.0,Monthly,73.96,74.22,74.59,73.56,74.5925,74.2555,75.6107,75.6107,0.0155,0.294,0.9597,10.63,14.3
O:GOOG200221C01280000,2020-01-21,2020-02-21,GOOG,C,64.0,2.0,10.39,10.39,-13.77,YES,10.39,13.93,10.39,13.93,10.39,10.39,2.0,1579582800000000000,31.0,Monthly,73.96,74.22,74.59,73.56,74.5925,74.2555,75.6107,75.6107,0.0155,0.2876,0.9592,10.39,13.93
O:GOOG200221C01285000,2020-01-21,2020-02-21,GOOG,C,64.25,10.0,10.11,10.15,-13.43,YES,10.15,13.61,10.11,13.55,10.19,10.11,8.0,1579582800000000000,31.0,Monthly,73.96,74.22,74.59,73.56,74.5925,74.2555,75.6107,75.6107,0.0155,0.287,0.9553,10.15,13.66
O:GOOG200221C01330000,2020-01-21,2020-02-21,GOOG,C,66.5,6.0,8.0,8.19,-10.4,YES,8.059999999999999,10.81,7.93,10.63,8.19,7.93,3.0,1579582800000000000,31.0,Monthly,73.96,74.22,74.59,73.56,74.5925,74.2555,75.6107,75.6107,0.0155,0.3223,0.8721,8.059999999999999,10.98
O:GOOG200221C01350000,2020-01-21,2020-02-21,GOOG,C,67.5,15.0,6.75,7.02,-9.05,YES,6.904999999999999,9.26,6.75,9.05,7.06,6.75,3.0,1579582800000000000,31.0,Monthly,73.96,74.22,74.59,73.56,74.5925,74.2555,75.6107,75.6107,0.0155,0.2461,0.9042,6.904999999999999,9.46
O:GOOG200221C01360000,2020-01-21,2020-02-21,GOOG,C,68.0,3.0,6.75,6.75,-8.38,YES,6.75,9.05,6.75,9.05,6.75,6.75,3.0,1579582800000000000,31.0,Monthly,73.96,74.22,74.59,73.56,74.5925,74.2555,75.6107,75.6107,0.0155,0.2874,0.8459,6.75,9.05
O:GOOG200221C01380000,2020-01-21,2020-02-21,GOOG,C,69.0,1.0,5.78,5.78,-7.03,YES,5.78,7.75,5.78,7.75,5.78,5.78,1.0,1579582800000000000,31.0,Monthly,73.96,74.22,74.59,73.56,74.5925,74.2555,75.6107,75.6107,0.0155,0.2601,0.8268,5.78,7.75
O:GOOG200221C01385000,2020-01-21,2020-02-21,GOOG,C,69.25,3.0,5.22,5.68,-6.7,YES,5.449999999999999,7.31,5.22,7.0,5.68,5.22,3.0,1579582800000000000,31.0,Monthly,73.96,74.22,74.59,73.56,74.5925,74.2555,75.6107,75.6107,0.0155,0.279,0.7962,5.449999999999999,7.61
O:GOOG200221C01390000,2020-01-21,2020-02-21,GOOG,C,69.5,6.0,5.01,5.05,-6.36,YES,5.029999999999999,6.74,5.01,6.72,5.05,5.01,5.0,1579582800000000000,31.0,Monthly,73.96,74.22,74.59,73.56,74.5925,74.2555,75.6107,75.6107,0.0155,0.195,0.8751,5.029999999999999,6.77
