ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:SPY220107C00400000,2022-01-03,2022-01-07,SPY,C,400.0,1.0,75.32,75.32,-16.27,YES,75.32,18.83,75.32,18.83,75.32,75.32,1.0,1641186000000000000,4.0,Weekly,476.3,477.71,477.85,473.85,477.71,477.71,477.85,477.71
O:SPY220107C00406000,2022-01-03,2022-01-07,SPY,C,406.0,1.0,71.6,71.6,-15.01,YES,71.6,17.64,71.6,17.64,71.6,71.6,1.0,1641186000000000000,4.0,Weekly,476.3,477.71,477.85,473.85,477.71,477.71,477.85,477.71
O:SPY220107C00410000,2022-01-03,2022-01-07,SPY,C,410.0,1.0,66.71,66.71,-14.17,YES,66.71,16.27,66.71,16.27,66.71,66.71,1.0,1641186000000000000,4.0,Weekly,476.3,477.71,477.85,473.85,477.71,477.71,477.85,477.71
O:SPY220107C00415000,2022-01-03,2022-01-07,SPY,C,415.0,10.0,59.62,59.62,-13.13,YES,59.62,14.37,59.62,14.37,59.62,59.62,1.0,1641186000000000000,4.0,Weekly,476.3,477.71,477.85,473.85,477.71,477.71,477.85,477.71
O:SPY220107C00420000,2022-01-03,2022-01-07,SPY,C,420.0,228.0,56.72,57.4,-12.08,YES,57.4,13.67,56.72,13.5,57.4,54.81,6.0,1641186000000000000,4.0,Weekly,476.3,477.71,477.85,473.85,477.71,477.71,477.85,477.71
O:SPY220107C00428000,2022-01-03,2022-01-07,SPY,C,428.0,10.0,46.89,46.89,-10.41,YES,46.89,10.96,46.89,10.96,46.89,46.89,2.0,1641186000000000000,4.0,Weekly,476.3,477.71,477.85,473.85,477.71,477.71,477.85,477.71
O:SPY220107C00430000,2022-01-03,2022-01-07,SPY,C,430.0,13.0,47.6,47.65,-9.99,YES,47.65,11.08,47.6,11.07,47.65,45.82,5.0,1641186000000000000,4.0,Weekly,476.3,477.71,477.85,473.85,477.71,477.71,477.85,477.71
O:SPY220107C00431000,2022-01-03,2022-01-07,SPY,C,431.0,10.0,45.77,45.77,-9.78,YES,45.77,10.62,45.77,10.62,45.77,45.77,1.0,1641186000000000000,4.0,Weekly,476.3,477.71,477.85,473.85,477.71,477.71,477.85,477.71
O:SPY220107C00433000,2022-01-03,2022-01-07,SPY,C,433.0,2.0,43.26,43.26,-9.36,YES,43.26,9.99,43.26,9.99,43.26,43.26,1.0,1641186000000000000,4.0,Weekly,476.3,477.71,477.85,473.85,477.71,477.71,477.85,477.71
O:SPY220107C00437000,2022-01-03,2022-01-07,SPY,C,437.0,5.0,37.91,37.91,-8.52,YES,37.91,8.68,37.91,8.68,37.91,37.91,1.0,1641186000000000000,4.0,Weekly,476.3,477.71,477.85,473.85,477.71,477.71,477.85,477.71
O:SPY220107C00440000,2022-01-03,2022-01-07,SPY,C,440.0,57.0,37.4,37.4,-7.89,YES,37.4,8.5,37.4,8.5,37.4,37.4,2.0,1641186000000000000,4.0,Weekly,476.3,477.71,477.85,473.85,477.71,477.71,477.85,477.71
O:SPY220107C00441000,2022-01-03,2022-01-07,SPY,C,441.0,14.0,34.4,35.9,-7.68,YES,35.9,8.14,34.4,7.8,35.92,34.4,4.0,1641186000000000000,4.0,Weekly,476.3,477.71,477.85,473.85,477.71,477.71,477.85,477.71
O:SPY220107C00442000,2022-01-03,2022-01-07,SPY,C,442.0,1.0,35.54,35.54,-7.48,YES,35.54,8.04,35.54,8.04,35.54,35.54,1.0,1641186000000000000,4.0,Weekly,476.3,477.71,477.85,473.85,477.71,477.71,477.85,477.71
O:SPY220107C00447000,2022-01-03,2022-01-07,SPY,C,447.0,1.0,28.14,28.14,-6.43,YES,28.14,6.3,28.14,6.3,28.14,28.14,1.0,1641186000000000000,4.0,Weekly,476.3,477.71,477.85,473.85,477.71,477.71,477.85,477.71
O:SPY220107C00448000,2022-01-03,2022-01-07,SPY,C,448.0,2.0,26.98,27.13,-6.22,YES,27.13,6.06,26.98,6.02,27.13,26.98,2.0,1641186000000000000,4.0,Weekly,476.3,477.71,477.85,473.85,477.71,477.71,477.85,477.71
