ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,mid_price,high_yield_pct,implied_volatility,probability_itm
O:AMAT170217C00025000,2017-01-17,2017-02-17,AMAT,C,250.0,106,9.05,8.32,638.99,NO,8.62,25.5,8.2,24.24,9.05,8.2,24,1484629200000000000,31,Monthly,33.79,33.3,33.83,33.09,33.83,35.67,35.8,35.8,0.0065,8.62,26.75,6.1163,0.0221
O:AMAT170217C00026000,2017-01-17,2017-02-17,AMAT,C,260.0,1,7.64,7.64,668.55,NO,7.64,22.58,7.64,22.58,7.64,7.64,1,1484629200000000000,31,Monthly,33.79,33.3,33.83,33.09,33.83,35.67,35.8,35.8,0.0065,7.64,22.58,5.9935,0.0206
O:AMAT170217C00027000,2017-01-17,2017-02-17,AMAT,C,270.0,3,6.6,6.6,698.11,NO,6.6,19.51,6.6,19.51,6.6,6.6,1,1484629200000000000,31,Monthly,33.79,33.3,33.83,33.09,33.83,35.67,35.8,35.8,0.0065,6.6,19.51,5.7663,0.019
O:AMAT170217C00028000,2017-01-17,2017-02-17,AMAT,C,280.0,1,5.3,5.3,727.67,NO,5.3,15.67,5.3,15.67,5.3,5.3,1,1484629200000000000,31,Monthly,33.79,33.3,33.83,33.09,33.83,35.67,35.8,35.8,0.0065,5.3,15.67,5.4485,0.0168
O:AMAT170217C00030000,2017-01-17,2017-02-17,AMAT,C,300.0,103,4.01,3.6,786.79,NO,3.73,11.03,3.45,10.2,4.01,3.45,8,1484629200000000000,31,Monthly,33.79,33.3,33.83,33.09,33.83,35.67,35.8,35.8,0.0065,3.73,11.85,5.0081,0.0131
O:AMAT170217C00031000,2017-01-17,2017-02-17,AMAT,C,310.0,24,3.15,2.77,816.35,NO,2.96,8.75,2.77,8.19,3.15,2.77,7,1484629200000000000,31,Monthly,33.79,33.3,33.83,33.09,33.83,35.67,35.8,35.8,0.0065,2.96,9.31,4.7523,0.011
O:AMAT170217C00032000,2017-01-17,2017-02-17,AMAT,C,320.0,51,2.18,1.93,845.91,NO,2.06,6.1,1.92,5.68,2.21,1.92,8,1484629200000000000,31,Monthly,33.79,33.3,33.83,33.09,33.83,35.67,35.8,35.8,0.0065,2.06,6.53,4.4424,0.0086
O:AMAT170217C00033000,2017-01-17,2017-02-17,AMAT,C,330.0,219,1.7,1.35,875.47,NO,1.5,4.42,1.27,3.75,1.72,1.27,44,1484629200000000000,31,Monthly,33.79,33.3,33.83,33.09,33.83,35.67,35.8,35.8,0.0065,1.5,5.08,4.1884,0.0066
O:AMAT170217C00034000,2017-01-17,2017-02-17,AMAT,C,340.0,66,1.11,0.88,905.03,NO,0.96,2.84,0.81,2.39,1.11,0.81,15,1484629200000000000,31,Monthly,33.79,33.3,33.83,33.09,33.83,35.67,35.8,35.8,0.0065,0.96,3.28,3.9285,0.0048
O:AMAT170217C00035000,2017-01-17,2017-02-17,AMAT,C,350.0,85,0.75,0.53,934.58,NO,0.62,1.82,0.48,1.42,0.75,0.48,17,1484629200000000000,31,Monthly,33.79,33.3,33.83,33.09,33.83,35.67,35.8,35.8,0.0065,0.62,2.22,3.6697,0.0033
O:AMAT170217C00036000,2017-01-17,2017-02-17,AMAT,C,360.0,33,0.36,0.31,964.14,NO,0.33,0.99,0.31,0.92,0.36,0.31,4,1484629200000000000,31,Monthly,33.79,33.3,33.83,33.09,33.83,35.67,35.8,35.8,0.0065,0.33,1.06,3.4434,0.0021
O:AMAT170217C00037000,2017-01-17,2017-02-17,AMAT,C,370.0,30,0.27,0.18,993.7,NO,0.22,0.67,0.18,0.53,0.27,0.18,3,1484629200000000000,31,Monthly,33.79,33.3,33.83,33.09,33.83,35.67,35.8,35.8,0.0065,0.22,0.8,3.2523,0.0014
