ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:SMCI180316C00017500,2018-03-12,2018-03-16,SMCI,C,1.17,10,0.57,0.57,0.57,0.57,1,1520827200000000000,4,1.99,1.95,2.0,1.94,2.0,1.97,1.98,1.98
O:SMCI180316C00020000,2018-03-12,2018-03-16,SMCI,C,1.33,6,0.15,0.15,0.15,0.15,1,1520827200000000000,4,1.99,1.95,2.0,1.94,2.0,1.97,1.98,1.98
O:SMCI180420C00015000,2018-04-16,2018-04-20,SMCI,C,1.0,2,0.75,0.75,0.75,0.75,1,1523851200000000000,4,1.74,1.77,1.8,1.72,1.8,1.74,1.8,1.8
O:SMCI180420C00017500,2018-04-16,2018-04-20,SMCI,C,1.17,2,0.19,0.17,0.19,0.17,2,1523851200000000000,4,1.74,1.77,1.8,1.72,1.8,1.74,1.8,1.8
O:SMCI180518C00015000,2018-05-14,2018-05-18,SMCI,C,1.0,2,2.12,2.12,2.12,2.12,1,1526270400000000000,4,2.34,2.36,2.39,2.33,2.39,2.37,2.4,2.4
O:SMCI180518C00020000,2018-05-14,2018-05-18,SMCI,C,1.33,2,0.88,0.88,0.88,0.88,2,1526270400000000000,4,2.34,2.36,2.39,2.33,2.39,2.37,2.4,2.4
O:SMCI180518C00025000,2018-05-14,2018-05-18,SMCI,C,1.67,3,0.02,0.01,0.02,0.01,3,1526270400000000000,4,2.34,2.36,2.39,2.33,2.39,2.37,2.4,2.4
O:SMCI180720C00015000,2018-07-16,2018-07-20,SMCI,C,1.0,26,2.21,2.28,2.28,2.21,2,1531713600000000000,4,2.4,2.42,2.42,2.38,2.42,2.38,2.42,2.42
O:SMCI180119C00022500,2018-01-16,2018-01-19,SMCI,C,1.5,12,0.15,0.15,0.15,0.15,2,1516078800000000000,3,2.15,2.15,2.18,2.13,2.18,2.28,2.3,2.3
O:SMCI180119C00025000,2018-01-16,2018-01-19,SMCI,C,1.67,81,0.01,0.01,0.01,0.01,6,1516078800000000000,3,2.15,2.15,2.18,2.13,2.18,2.28,2.3,2.3
