ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry
O:XLK210108C00110000,2021-01-04,2021-01-08,XLK,C,55.0,6.0,20.43,17.3,-14.0,YES,17.3,31.45,20.43,37.15,20.43,16.95,5.0,1609736400000000000,4.0,Weekly,65.34,63.95,65.36,63.12,63.95,63.95,65.36,63.95
O:XLK210108C00115000,2021-01-04,2021-01-08,XLK,C,57.5,6.0,16.45,12.93,-10.09,YES,12.93,22.49,16.45,28.61,16.45,12.93,4.0,1609736400000000000,4.0,Weekly,65.34,63.95,65.36,63.12,63.95,63.95,65.36,63.95
O:XLK210108C00123500,2021-01-04,2021-01-08,XLK,C,61.75,1.0,4.3,4.3,-3.44,YES,4.3,6.96,4.3,6.96,4.3,4.3,1.0,1609736400000000000,4.0,Weekly,65.34,63.95,65.36,63.12,63.95,63.95,65.36,63.95
O:XLK210108C00124000,2021-01-04,2021-01-08,XLK,C,62.0,1.0,6.1,6.1,-3.05,YES,6.1,9.84,6.1,9.84,6.1,6.1,1.0,1609736400000000000,4.0,Weekly,65.34,63.95,65.36,63.12,63.95,63.95,65.36,63.95
O:XLK210108C00124500,2021-01-04,2021-01-08,XLK,C,62.25,22.0,3.2,3.21,-2.66,YES,3.21,5.16,3.2,5.14,3.21,3.2,4.0,1609736400000000000,4.0,Weekly,65.34,63.95,65.36,63.12,63.95,63.95,65.36,63.95
O:XLK210108C00125000,2021-01-04,2021-01-08,XLK,C,62.5,128.0,5.0,3.35,-2.27,YES,3.35,5.36,5.0,8.0,5.0,2.85,6.0,1609736400000000000,4.0,Weekly,65.34,63.95,65.36,63.12,63.95,63.95,65.36,63.95
O:XLK210108C00125500,2021-01-04,2021-01-08,XLK,C,62.75,31.0,3.33,2.85,-1.88,YES,2.85,4.54,3.33,5.31,3.33,2.85,2.0,1609736400000000000,4.0,Weekly,65.34,63.95,65.36,63.12,63.95,63.95,65.36,63.95
O:XLK210108C00126000,2021-01-04,2021-01-08,XLK,C,63.0,24.0,4.0,2.75,-1.49,YES,2.75,4.37,4.0,6.35,4.0,2.2,4.0,1609736400000000000,4.0,Weekly,65.34,63.95,65.36,63.12,63.95,63.95,65.36,63.95
O:XLK210108C00126500,2021-01-04,2021-01-08,XLK,C,63.25,3.0,2.16,2.48,-1.09,YES,2.48,3.92,2.16,3.42,2.48,2.16,3.0,1609736400000000000,4.0,Weekly,65.34,63.95,65.36,63.12,63.95,63.95,65.36,63.95
O:XLK210108C00127000,2021-01-04,2021-01-08,XLK,C,63.5,35.0,3.48,2.27,-0.7,YES,2.27,3.57,3.48,5.48,3.48,1.83,14.0,1609736400000000000,4.0,Weekly,65.34,63.95,65.36,63.12,63.95,63.95,65.36,63.95
