ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category
O:META250110C00300000,2025-01-06,2025-01-10,META,C,3000.0,3,321.5,321.5,321.5,319.0,3,1736139600000000000,4,Weekly
O:META250110C00390000,2025-01-06,2025-01-10,META,C,3900.0,60,223.07,221.94,223.07,221.94,2,1736139600000000000,4,Weekly
O:META250110C00395000,2025-01-06,2025-01-10,META,C,3950.0,60,218.47,218.17,218.47,218.17,2,1736139600000000000,4,Weekly
O:META250110C00400000,2025-01-06,2025-01-10,META,C,4000.0,120,213.57,221.38,221.38,209.22,4,1736139600000000000,4,Weekly
O:META250110C00405000,2025-01-06,2025-01-10,META,C,4050.0,120,206.58,216.38,216.38,203.08,4,1736139600000000000,4,Weekly
O:META250110C00410000,2025-01-06,2025-01-10,META,C,4100.0,120,201.68,208.73,208.73,197.25,4,1736139600000000000,4,Weekly
O:META250110C00415000,2025-01-06,2025-01-10,META,C,4150.0,120,197.49,203.73,203.73,192.35,4,1736139600000000000,4,Weekly
O:META250110C00420000,2025-01-06,2025-01-10,META,C,4200.0,120,194.05,198.6,198.6,189.87,4,1736139600000000000,4,Weekly
O:META250110C00425000,2025-01-06,2025-01-10,META,C,4250.0,120,189.12,193.6,193.6,183.08,4,1736139600000000000,4,Weekly
O:META250110C00430000,2025-01-06,2025-01-10,META,C,4300.0,120,178.6,182.97,182.97,178.6,4,1736139600000000000,4,Weekly
O:META250110C00435000,2025-01-06,2025-01-10,META,C,4350.0,180,173.7,188.0,188.0,173.6,6,1736139600000000000,4,Weekly
O:META250110C00440000,2025-01-06,2025-01-10,META,C,4400.0,120,166.39,183.0,183.0,166.39,4,1736139600000000000,4,Weekly
O:META250110C00445000,2025-01-06,2025-01-10,META,C,4450.0,61,161.46,172.74,172.74,161.46,3,1736139600000000000,4,Weekly
O:META250110C00460000,2025-01-06,2025-01-10,META,C,4600.0,1,157.77,157.77,157.77,157.77,1,1736139600000000000,4,Weekly
O:META250110C00480000,2025-01-06,2025-01-10,META,C,4800.0,1,145.21,145.21,145.21,145.21,1,1736139600000000000,4,Weekly
O:META250110C00490000,2025-01-06,2025-01-10,META,C,4900.0,1,131.14,131.14,131.14,131.14,1,1736139600000000000,4,Weekly
O:META250110C00495000,2025-01-06,2025-01-10,META,C,4950.0,21,128.56,126.28,128.56,126.28,3,1736139600000000000,4,Weekly
O:META250110C00500000,2025-01-06,2025-01-10,META,C,5000.0,100,122.05,122.05,122.05,122.05,1,1736139600000000000,4,Weekly
O:META250110C00510000,2025-01-06,2025-01-10,META,C,5100.0,3,102.7,115.32,115.32,102.7,3,1736139600000000000,4,Weekly
O:META250110C00515000,2025-01-06,2025-01-10,META,C,5150.0,3,106.6,110.47,110.47,106.6,3,1736139600000000000,4,Weekly
O:META250110C00520000,2025-01-06,2025-01-10,META,C,5200.0,3,101.59,105.38,105.38,101.59,3,1736139600000000000,4,Weekly
O:META250110C00525000,2025-01-06,2025-01-10,META,C,5250.0,1,101.31,101.31,101.31,101.31,1,1736139600000000000,4,Weekly
O:META250110C00530000,2025-01-06,2025-01-10,META,C,5300.0,1,96.39,96.39,96.39,96.39,1,1736139600000000000,4,Weekly
O:META250110C00540000,2025-01-06,2025-01-10,META,C,5400.0,8,69.1,84.25,84.25,69.1,4,1736139600000000000,4,Weekly
O:META250110C00545000,2025-01-06,2025-01-10,META,C,5450.0,44,67.85,79.11,79.11,67.85,6,1736139600000000000,4,Weekly
O:META250110C00550000,2025-01-06,2025-01-10,META,C,5500.0,6,62.5,78.0,78.0,61.6,6,1736139600000000000,4,Weekly
O:META250110C00555000,2025-01-06,2025-01-10,META,C,5550.0,4,60.36,75.25,75.25,60.36,4,1736139600000000000,4,Weekly
O:META250110C00560000,2025-01-06,2025-01-10,META,C,5600.0,273,51.98,70.1,70.1,48.8,30,1736139600000000000,4,Weekly
O:META250110C00565000,2025-01-06,2025-01-10,META,C,5650.0,76,46.37,59.21,59.21,46.37,6,1736139600000000000,4,Weekly
O:META250110C00570000,2025-01-06,2025-01-10,META,C,5700.0,504,42.3,58.7,58.7,41.39,30,1736139600000000000,4,Weekly
O:META250110C00575000,2025-01-06,2025-01-10,META,C,5750.0,30,38.0,50.54,50.54,35.5,7,1736139600000000000,4,Weekly
O:META250110C00577500,2025-01-06,2025-01-10,META,C,5775.0,9,32.0,44.55,44.55,32.0,6,1736139600000000000,4,Weekly
O:META250110C00580000,2025-01-06,2025-01-10,META,C,5800.0,564,35.0,48.76,48.76,29.45,47,1736139600000000000,4,Weekly
O:META250110C00585000,2025-01-06,2025-01-10,META,C,5850.0,94,28.65,45.28,45.28,22.85,33,1736139600000000000,4,Weekly
O:META250110C00587500,2025-01-06,2025-01-10,META,C,5875.0,53,27.5,33.9,34.4,22.75,20,1736139600000000000,4,Weekly
O:META250110C00590000,2025-01-06,2025-01-10,META,C,5900.0,877,23.6,40.85,40.85,19.0,118,1736139600000000000,4,Weekly
O:META250110C00592500,2025-01-06,2025-01-10,META,C,5925.0,60,22.7,35.75,35.75,16.85,32,1736139600000000000,4,Weekly
O:META250110C00595000,2025-01-06,2025-01-10,META,C,5950.0,403,20.5,33.66,33.66,14.85,115,1736139600000000000,4,Weekly
