ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:MSFT170106C00055500,2017-01-03,2017-01-06,MSFT,C,3.7,12,1.78,1.78,-11.68,YES,1.78,2.82,1.78,2.82,1.78,1.78,4,1483419600000000000,3,Weekly,62.79,62.58,62.84,62.12,62.84,62.84,63.15,63.15,0.02,,,1.78,2.82
O:MSFT170106C00056000,2017-01-03,2017-01-06,MSFT,C,3.73,1,1.6,1.6,-10.88,YES,1.6,2.54,1.6,2.54,1.6,1.6,1,1483419600000000000,3,Weekly,62.79,62.58,62.84,62.12,62.84,62.84,63.15,63.15,0.02,,,1.6,2.54
O:MSFT170106C00057500,2017-01-03,2017-01-06,MSFT,C,3.83,3,1.19,1.19,-8.5,YES,1.19,1.89,1.19,1.89,1.19,1.19,1,1483419600000000000,3,Weekly,62.79,62.58,62.84,62.12,62.84,62.84,63.15,63.15,0.02,,,1.19,1.89
O:MSFT170106C00058000,2017-01-03,2017-01-06,MSFT,C,3.87,17,1.15,1.1,-7.7,YES,1.12,1.79,1.1,1.75,1.15,1.1,4,1483419600000000000,3,Weekly,62.79,62.58,62.84,62.12,62.84,62.84,63.15,63.15,0.02,,,1.12,1.83
O:MSFT170106C00058500,2017-01-03,2017-01-06,MSFT,C,3.9,1,1.02,1.02,-6.91,YES,1.02,1.63,1.02,1.63,1.02,1.02,1,1483419600000000000,3,Weekly,62.79,62.58,62.84,62.12,62.84,62.84,63.15,63.15,0.02,,,1.02,1.63
O:MSFT170106C00059000,2017-01-03,2017-01-06,MSFT,C,3.93,11,0.85,0.85,-6.11,YES,0.82,1.31,0.79,1.26,0.85,0.79,5,1483419600000000000,3,Weekly,62.79,62.58,62.84,62.12,62.84,62.84,63.15,63.15,0.02,,,0.82,1.35
O:MSFT170106C00059500,2017-01-03,2017-01-06,MSFT,C,3.97,30,0.72,0.72,-5.32,YES,0.72,1.15,0.72,1.15,0.72,0.72,4,1483419600000000000,3,Weekly,62.79,62.58,62.84,62.12,62.84,62.84,63.15,63.15,0.02,,,0.72,1.15
O:MSFT170106C00060000,2017-01-03,2017-01-06,MSFT,C,4.0,53,0.64,0.6,-4.52,YES,0.61,0.97,0.58,0.92,0.64,0.58,18,1483419600000000000,3,Weekly,62.79,62.58,62.84,62.12,62.84,62.84,63.15,63.15,0.02,,,0.61,1.03
O:MSFT170106C00060500,2017-01-03,2017-01-06,MSFT,C,4.03,47,0.54,0.48,-3.72,YES,0.5,0.79,0.44,0.7,0.56,0.44,7,1483419600000000000,3,Weekly,62.79,62.58,62.84,62.12,62.84,62.84,63.15,63.15,0.02,,,0.5,0.88
O:MSFT170106C00061000,2017-01-03,2017-01-06,MSFT,C,4.07,220,0.44,0.36,-2.93,YES,0.38,0.61,0.32,0.51,0.44,0.32,11,1483419600000000000,3,Weekly,62.79,62.58,62.84,62.12,62.84,62.84,63.15,63.15,0.02,,,0.38,0.71
O:MSFT170106C00061500,2017-01-03,2017-01-06,MSFT,C,4.1,125,0.31,0.25,-2.13,YES,0.28,0.44,0.24,0.38,0.31,0.24,30,1483419600000000000,3,Weekly,62.79,62.58,62.84,62.12,62.84,62.84,63.15,63.15,0.02,,,0.28,0.49
O:MSFT170106C00062000,2017-01-03,2017-01-06,MSFT,C,4.13,235,0.22,0.16,-1.34,YES,0.19,0.3,0.13,0.2,0.25,0.13,37,1483419600000000000,3,Weekly,62.79,62.58,62.84,62.12,62.84,62.84,63.15,63.15,0.02,,,0.19,0.4
