ticker,date_only,expiration_date,underlying_symbol,option_type,strike,volume,open_price,close_price,otm_pct,ITM,premium,premium_yield_pct,premium_low,premium_yield_pct_low,high_price,low_price,transactions,window_start,days_to_expiry,time_remaining_category,underlying_open,underlying_close,underlying_high,underlying_low,underlying_spot,underlying_close_at_expiry,underlying_high_at_expiry,underlying_spot_at_expiry,fedfunds_rate,implied_volatility,probability_itm,mid_price,high_yield_pct
O:XLK210108C00110000,2021-01-04,2021-01-08,XLK,C,110.0,6.0,20.43,17.3,-31.03,YES,18.69,11.72,16.95,10.63,20.43,16.95,5.0,1609736400000000000,4.0,Weekly,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,,,18.69,12.81
O:XLK210108C00115000,2021-01-04,2021-01-08,XLK,C,115.0,6.0,16.45,12.93,-27.9,YES,14.69,9.21,12.93,8.11,16.45,12.93,4.0,1609736400000000000,4.0,Weekly,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,,,14.69,10.31
O:XLK210108C00123500,2021-01-04,2021-01-08,XLK,C,123.5,1.0,4.3,4.3,-22.57,YES,4.3,2.7,4.3,2.7,4.3,4.3,1.0,1609736400000000000,4.0,Weekly,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,,,4.3,2.7
O:XLK210108C00124000,2021-01-04,2021-01-08,XLK,C,124.0,1.0,6.1,6.1,-22.26,YES,6.1,3.82,6.1,3.82,6.1,6.1,1.0,1609736400000000000,4.0,Weekly,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,,,6.1,3.82
O:XLK210108C00124500,2021-01-04,2021-01-08,XLK,C,124.5,22.0,3.2,3.21,-21.94,YES,3.2,2.01,3.2,2.01,3.21,3.2,4.0,1609736400000000000,4.0,Weekly,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,,,3.2,2.01
O:XLK210108C00125000,2021-01-04,2021-01-08,XLK,C,125.0,128.0,5.0,3.35,-21.63,YES,3.92,2.46,2.85,1.79,5.0,2.85,6.0,1609736400000000000,4.0,Weekly,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,,,3.92,3.13
O:XLK210108C00125500,2021-01-04,2021-01-08,XLK,C,125.5,31.0,3.33,2.85,-21.32,YES,3.09,1.94,2.85,1.79,3.33,2.85,2.0,1609736400000000000,4.0,Weekly,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,,,3.09,2.09
O:XLK210108C00126000,2021-01-04,2021-01-08,XLK,C,126.0,24.0,4.0,2.75,-21.0,YES,3.1,1.94,2.2,1.38,4.0,2.2,4.0,1609736400000000000,4.0,Weekly,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,,,3.1,2.51
O:XLK210108C00126500,2021-01-04,2021-01-08,XLK,C,126.5,3.0,2.16,2.48,-20.69,YES,2.32,1.45,2.16,1.35,2.48,2.16,3.0,1609736400000000000,4.0,Weekly,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,,,2.32,1.55
O:XLK210108C00127000,2021-01-04,2021-01-08,XLK,C,127.0,35.0,3.48,2.27,-20.38,YES,2.66,1.66,1.83,1.15,3.48,1.83,14.0,1609736400000000000,4.0,Weekly,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,,,2.66,2.18
O:XLK210108C00127500,2021-01-04,2021-01-08,XLK,C,127.5,173.0,3.25,1.95,-20.06,YES,2.44,1.53,1.62,1.02,3.25,1.62,15.0,1609736400000000000,4.0,Weekly,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,,,2.44,2.04
O:XLK210108C00128000,2021-01-04,2021-01-08,XLK,C,128.0,100.0,2.74,1.66,-19.75,YES,2.02,1.26,1.28,0.8,2.75,1.28,36.0,1609736400000000000,4.0,Weekly,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,,,2.02,1.72
O:XLK210108C00129000,2021-01-04,2021-01-08,XLK,C,129.0,135.0,2.65,1.08,-19.12,YES,1.72,1.08,0.78,0.49,2.65,0.78,44.0,1609736400000000000,4.0,Weekly,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,,,1.72,1.66
O:XLK210108C00130000,2021-01-04,2021-01-08,XLK,C,130.0,135.0,1.75,0.67,-18.5,YES,1.12,0.7,0.49,0.31,1.75,0.49,65.0,1609736400000000000,4.0,Weekly,315.11,309.31,315.29,305.18,315.29,319.03,319.39,319.39,0.0009,,,1.12,1.1
